Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 29825 56453.748378 r 14.747 0.010 
 29825 56453.748937 r 14.747 0.011 
 29825 56465.454568 r 15.085 0.010 
 29825 56465.455249 r 15.104 0.011 
 29825 56465.455691 r 15.078 0.011 
 29825 56465.462665 r 15.115 0.011 
 29825 56465.463356 r 15.088 0.011 
 29825 56465.463783 r 15.115 0.010 
 29825 56467.462713 r 15.127 0.010 
 29825 56467.463393 r 15.141 0.010 
 29825 56467.463847 r 15.114 0.011 
 29825 56724.814885 r 15.015 0.011 
 29825 56724.815323 r 15.025 0.010 
 29825 56724.837694 r 15.026 0.010 
 29825 56724.838133 r 15.032 0.010 
 29825 56724.858302 r 15.046 0.010 
 29825 56724.858738 r 15.038 0.010 
 29825 56724.881196 r 15.054 0.010 
 29825 56724.881636 r 15.046 0.010 
 29825 56725.824447 r 14.675 0.011 
 29825 56725.824889 r 14.680 0.011 
 29825 56725.844726 r 14.713 0.012 
 29825 56725.845162 r 14.720 0.010 
 29825 56725.875055 r 14.749 0.011 
 29825 56725.875495 r 14.743 0.011 
 29825 56726.810271 r 15.022 0.011 
 29825 56726.810697 r 15.017 0.011 
 29825 56726.819387 r 15.036 0.011 
 29825 56726.819819 r 15.031 0.010 
 29825 56726.839819 r 15.018 0.010 
 29825 56726.840245 r 15.033 0.011 
 29825 56726.859958 r 15.033 0.011 
 29825 56726.860383 r 15.049 0.011 
 29825 56726.880322 r 15.037 0.011 
 29825 56726.880764 r 15.041 0.011 
 29825 56726.900425 r 15.062 0.010 
 29825 56726.900873 r 15.058 0.010 
 29825 56451.719126 i 14.954 0.012 
 29825 56451.719677 i 14.926 0.010 
 29825 56452.497345 i 14.707 0.011 
 29825 56452.497785 i 14.708 0.011 
 29825 56452.611183 i 14.806 0.012 
 29825 56452.611621 i 14.798 0.012 
 29825 56452.699593 i 14.853 0.013 
 29825 56452.700079 i 14.859 0.012 
 29825 56452.753449 i 14.909 0.014 
 29825 56453.466599 i 14.920 0.012 
 29825 56453.472711 i 14.844 0.029 
 29825 56453.473140 i 14.934 0.020 
 29825 56453.568639 i 15.058 0.013 
 29825 56453.569078 i 15.182 0.013 
 29825 56453.576087 i 15.023 0.011 
 29825 56453.576522 i 15.015 0.012 
 29825 56453.679063 i 15.063 0.012 
 29825 56453.679504 i 15.049 0.011 
 29825 56453.749491 i 14.729 0.012 
 29825 56465.456542 i 15.043 0.012 
 29825 56465.464214 i 15.071 0.011 
 29825 56465.464655 i 15.038 0.011 
 29825 56467.464288 i 15.066 0.011 
 29825 56467.464715 i 15.064 0.011 
 29825 56724.815764 i 14.976 0.010 
 29825 56724.816199 i 14.955 0.011 
 29825 56724.838569 i 14.960 0.010 
 29825 56724.839012 i 14.955 0.011 
 29825 56724.859614 i 14.978 0.010 
 29825 56724.882066 i 14.975 0.010 
 29825 56724.882496 i 14.984 0.011 
 29825 56726.811144 i 14.962 0.011 
 29825 56726.811663 i 14.954 0.011 
 29825 56726.820248 i 14.963 0.011 
 29825 56726.820689 i 14.946 0.011 
 29825 56726.881188 i 15.000 0.011 
 29825 56451.720223 z 14.949 0.011 
 29825 56451.720708 z 14.907 0.012 
 29825 56452.498233 z 14.724 0.012 
 29825 56452.498661 z 14.696 0.011 
 29825 56452.612057 z 14.763 0.012 
 29825 56452.612487 z 14.769 0.011 
 29825 56452.700608 z 14.828 0.012 
 29825 56452.701148 z 14.834 0.011 
 29825 56452.753959 z 14.869 0.011 
 29825 56452.754501 z 14.873 0.011 
 29825 56453.467450 z 14.904 0.015 
 29825 56453.479073 z 14.904 0.011 
 29825 56453.479532 z 15.085 0.012 
 29825 56453.569520 z 14.979 0.011 
 29825 56453.569950 z 14.957 0.013 
 29825 56453.576983 z 14.968 0.011 
 29825 56453.577412 z 14.923 0.015 
 29825 56453.679926 z 14.945 0.015 
 29825 56453.680353 z 14.985 0.012 
 29825 56453.750520 z 14.760 0.013 
 29825 56453.751075 z 14.783 0.013 
 29825 56465.457415 z 15.017 0.012 
 29825 56465.465093 z 15.013 0.012 
 29825 56465.465539 z 14.991 0.012 
 29825 56467.465179 z 15.033 0.011 
 29825 56467.465622 z 15.008 0.011 
 29825 56724.816635 z 14.906 0.010 
 29825 56724.817063 z 14.901 0.011 
